unique	total	date	branch	files	subject
3	3	2026-06-24	fix/e2e-vida-safety-2026-06-23	.gitignore,firestore.rules,playwright.config.ts,server.ts,src/rules-tests/projectsRead.rules.test.ts,src/services/compliance/registry.ts	fix(legal): annotate DS 40 derogation in clSafetyInspectionAdapter citation
0	1	2026-06-22	fix/regen-api-index-2026-06-22	docs/API-INDEX.md	fix(docs): regenerate API-INDEX.md ÔÇö fresh route catalog (unblocks CI Tests gate ÔåÆ deploy)
0	1	2026-06-22	feat/f4-tokenize-batch2-2026-06-22	src/pages/ArcadeGames.tsx,src/pages/BioAnalysis.tsx,src/pages/BlueprintViewer.tsx,src/pages/CealSmCampaigns.tsx,src/pages/CealSmResponder.tsx,src/pages/ClawMachine.tsx	feat(f4): tokenize remaining broken-in-3-modes pages (batch 2)
0	1	2026-06-22	fix/ci-tests-unblock-deploy-2026-06-22	.github/workflows/ci.yml	fix(ci): shard Tests job 4-way to unblock deploy gate (>14 min slow run)
4	4	2026-06-22	feat/f4-tokenize-broken-pages-2026-06-22	src/pages/AuditTrail.tsx,src/pages/CQRSArchitecture.tsx,src/pages/CoastalEmergencyMap.tsx,src/pages/ControlsAndMaterials.tsx,src/pages/DEAZones.tsx,src/pages/Diagnostico.tsx	feat(f4): tokenize 9 more pages ÔÇö IoT, wearables, ERP, immutable render, CQRS, Google Drive, light pollution, volcanic map, mountain refuges
4	4	2026-06-22	fix/vitest-pool-hang-2026-06-22	src/pages/MaturityIndicator.test.tsx,src/server/routes/healthDeep.test.ts,src/server/triggers/mqttTelemetryBridge.test.ts,src/services/observability/resilienceHealthMonitor.test.ts,vitest.config.ts	fix(config): enable vitest detectAsyncLeaks to surface pool-hang culprits
3	3	2026-06-22	feat/backend-pipelines-2026-06-22	src/server/jobs/runComplianceSnapshot.test.ts,src/server/jobs/runComplianceSnapshot.ts,src/server/jobs/runContractorRankingSnapshot.test.ts,src/server/jobs/runContractorRankingSnapshot.ts,src/server/jobs/runSloMetricsRefresh.test.ts,src/server/jobs/runSloMetricsRefresh.ts	feat(pipelines): SLO error-budget refresh job + maintenance route wiring (Dimension D #3)
2	2	2026-06-22	feat/mount-vida-legal-orphans-2026-06-22	scripts/connectivity-ratchet-baseline.json,src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json,src/pages/ClimateRoutes.test.tsx,src/pages/ClimateRoutes.tsx	fix(i18n): declare climateRoutes.calmRecs + calmRecsTitle in all 3 locales
0	1	2026-06-22	dependabot/npm_and_yarn/minor-and-patch-ee8c404809	package-lock.json,package.json	chore(deps): bump the minor-and-patch group across 1 directory with 59 updates
5	5	2026-06-22	feat/wire-compliance-emit-2026-06-22	docs/stubs-inventory.md,src/__tests__/server/complianceEmit.router.test.ts,src/server/routes/complianceEmit.ts,src/services/calendar/legalObligations.ts,src/services/capacity/normativeAlerts.ts,src/services/compliance/registry.ts	test(compliance-emit): add real-router per-adapter tests + register safety_inspection stub
3	3	2026-06-22	fix/stability-blockers-2026-06-22	package-lock.json,package.json,server.ts,src/__tests__/server/emergency.router.test.ts,src/components/emergency/SOSButton.tsx,src/components/regulatory/Iso45001Catalog.tsx	fix(test): pin TZ to America/Santiago in ephemeris.test.ts
1	1	2026-06-22	feat/landing-firebase-lazy	src/App.tsx,src/AppRoutes.tsx	perf(landing): lazy-load Firebase SDK off the anonymous landing critical path
7	7	2026-06-22	test/router-coverage-wave2-2026-06-22	scripts/router-test-ratchet-baseline.json,src/__tests__/server/expressBundle.router.test.ts,src/__tests__/server/pricingCalculator.router.test.ts,src/__tests__/server/pricingSimulator.router.test.ts,src/__tests__/server/pymeWizard.router.test.ts,src/__tests__/server/reputationalAlerts.router.test.ts	chore(ratchet): update router-test baseline ÔÇö 7 ÔåÆ 1 uncovered (204 verified)
3	3	2026-06-22	feat/frontend-redesign-f2	src/__tests__/design/dashboardSurfaces.test.tsx,src/__tests__/design/density.test.ts,src/__tests__/design/responsive.test.tsx,src/components/dashboard/ComplianceCard.test.tsx,src/components/dashboard/ComplianceCard.tsx,src/components/dashboard/KpiRow.test.tsx	fix(frontend-f2): address adversarial review findings (C1/I1-I4/M1/M2/I3)
0	1	2026-06-22	docs/reflect-merged-wave-2026-06-22	TODO.md,docs/PENDIENTE.md	docs: reflect merged hardening + DX + frontend wave (#1111-#1114)
3	3	2026-06-22	feat/wire-backend-orphans-2026-06-22	scripts/router-test-ratchet-baseline.json,src/__tests__/server/pymeOnboarding.router.test.ts,src/__tests__/server/roleViews.router.test.ts,src/__tests__/server/spacedRepetition.router.test.ts	test(server): add real-router tests for roleViews routes
36	38	2026-06-22	feat/frontend-redesign-f0-f1	.size-limit.json,docs/design/2026-06-22-frontend-redesign-f0-foundations-plan.md,docs/design/2026-06-22-frontend-redesign-f1-navigation-plan.md,docs/design/2026-06-22-frontend-redesign-f2-dashboard-surfaces-plan.md,docs/design/2026-06-22-frontend-redesign-f3-bugs-plan.md,docs/design/2026-06-22-frontend-redesign-spec.md	chore(perf): raise Main entry size budget 500ÔåÆ532 KB for F1 nav redesign
1	1	2026-06-22	dependabot/npm_and_yarn/mercadopago-3.1.0	package-lock.json,package.json	chore(deps): bump mercadopago from 2.13.0 to 3.1.0
0	1	2026-06-22	dependabot/github_actions/google-github-actions/setup-gcloud-3	.github/workflows/firestore-backup.yml	chore(ci): bump google-github-actions/setup-gcloud from 2 to 3
0	1	2026-06-22	dependabot/github_actions/github/codeql-action-4	.github/workflows/codeql.yml,.github/workflows/ossar.yml	chore(ci): bump github/codeql-action from 3 to 4
0	1	2026-06-22	dependabot/github_actions/actions/setup-node-6	.github/workflows/check-mobile-signing.yml,.github/workflows/ci.yml,.github/workflows/dr-dryrun.yml,.github/workflows/e2e.yml,.github/workflows/loadtest.yml,.github/workflows/mobile-build-check.yml	chore(ci): bump actions/setup-node from 4 to 6
0	1	2026-06-22	dependabot/github_actions/actions/upload-artifact-7	.github/workflows/dr-dryrun.yml,.github/workflows/e2e.yml,.github/workflows/loadtest.yml,.github/workflows/mobile-release.yml,.github/workflows/mutation.yml,.github/workflows/perf.yml	chore(ci): bump actions/upload-artifact from 4 to 7
4	4	2026-06-22	security/firestore-storage-rules-2026-06-22	firestore.rules,src/rules-tests/projectScopedStores.rules.test.ts,src/rules-tests/storageRules.rules.test.ts,src/rules-tests/v2AntiSpoofCreatorUid.rules.test.ts,storage.rules	test(rules): fix 7 failing rules tests for V2 anti-spoof hardening
2	2	2026-06-22	chore/dx-ci-config-2026-06-22	.github/CODEOWNERS,.github/ISSUE_TEMPLATE/bug_report.md,.github/ISSUE_TEMPLATE/config.yml,.github/ISSUE_TEMPLATE/feature_request.md,.github/ISSUE_TEMPLATE/safety_incident.md,.github/dependabot.yml	ci(lint-infra): step-level continue-on-error so advisory linters report green
0	1	2026-06-22	chore/wire-missing-guards-2026-06-22	.github/workflows/pr-scope-check.yml,.husky/pre-commit,CLAUDE.md,scripts/check-render-ratchet.cjs,scripts/render-ratchet-baseline.json,scripts/validate-pr-scope.cjs	chore(ci): wire render-ratchet (#23) into pre-commit + add advisory pr-scope-check (#24)
2	2	2026-06-22	security/audit-hardening-2026-06-22	.github/workflows/deploy.yml,TODO.md,src/__tests__/server/askGuardianPiiRedaction.test.ts,src/__tests__/server/verifyAuthE2E.test.ts,src/server/middleware/verifyAuth.ts,src/server/routes/gemini.ts	feat(security): V11 PII redaction on /ask-guardian + V12 timing-safe E2E secret + B24 docker dedup
14	16	2026-06-22	feat/frontend-redesign	docs/design/2026-06-22-frontend-redesign-f0-foundations-plan.md,docs/design/2026-06-22-frontend-redesign-f1-navigation-plan.md,docs/design/2026-06-22-frontend-redesign-f2-dashboard-surfaces-plan.md,docs/design/2026-06-22-frontend-redesign-f3-bugs-plan.md,docs/design/2026-06-22-frontend-redesign-spec.md,package-lock.json	docs(design): F1/F2/F3 plans + spec ┬º12 founder refinements
2	4	2026-06-21	docs/frontend-redesign-spec	docs/design/2026-06-21-frontend-redesign-design.md,tests/e2e/fixtures/seed.ts,tests/e2e/sos-button.spec.ts	docs(design): spec de redise├▒o de frontend (Apple/Xiaomi + pretext + nav 9 bloques)
2	4	2026-06-21	feat/ley-karin-notify-lead	src/__tests__/server/confidentialReports.router.test.ts,src/server/routes/confidentialReports.ts,tests/e2e/fixtures/seed.ts,tests/e2e/sos-button.spec.ts	feat(ley-karin): notificar al lider del proyecto al recibir denuncia (F2, anonimato-seguro)
3	5	2026-06-21	docs/reconcile-pendiente-2026-06-21	TODO.md,docs/PENDIENTE.md,tests/e2e/fixtures/seed.ts,tests/e2e/sos-button.spec.ts	docs(PENDIENTE): D4 ContractorPerformance feed marcado CONSTRUIDO (stale doc-drift)
2	4	2026-06-21	fix/guard-hang-global-async-errors	package-lock.json,package.json,server.ts,src/__tests__/server/emergency.router.test.ts,src/types/globals.d.ts,tests/e2e/fixtures/seed.ts	fix(reliability): forward async rejections so membership reads can't hang the request
1	1	2026-06-21	fix/guard-pinsign	src/__tests__/server/pinSign.test.ts,src/server/routes/pinSign.ts	fix(pinSign): move project-membership guard inside try (Express 4 async-reject hang)
1	1	2026-06-21	fix/guard-aiguardrails	src/__tests__/server/aiGuardrails.test.ts,src/server/routes/aiGuardrails.ts	@ fix(aiGuardrails): move membership guard inside try/catch to prevent request hang
2	4	2026-06-21	fix/guard-infra-error-5xx	src/__tests__/server/privacyShield.router.test.ts,src/server/routes/privacyShield.ts,tests/e2e/fixtures/seed.ts,tests/e2e/sos-button.spec.ts	fix(privacyShield): guard() dentro del try ÔåÆ infra-error de membership mapea a 5xx limpio, no cuelga (Express 4 async reject)
2	2	2026-06-21	feat/e2e-fixture-sos	tests/e2e/fixtures/seed.ts,tests/e2e/sos-button.spec.ts	fix(e2e): SOS button no renderizaba ÔÇö reload tras sign-in (app montaba sin auth ÔåÆ ProjectContext/Emergency no activaban modo emergencia)
9	15	2026-06-21	chore/wire-orphans-real-2b	docs/API-INDEX.md,firestore.rules,scripts/connectivity-ratchet-baseline.json,scripts/i18n-parity-baseline.json,security_spec.md,src/__tests__/server/bbs.router.test.ts	fix(test): alinear bbs.router.test al contrato stateful ÔÇö seed tenantId + record-observation 201 (era 404/200, regresi├│n del wiring bbs-profile)
0	1	2026-06-21	fix/cloudrun-boot-memory	.github/workflows/deploy.yml	fix(deploy): Cloud Run boot OOM ÔÇö 512MiÔåÆ2Gi + cpu-boost (tsx runtime transpila todo el backend en cold start)
5	9	2026-06-21	chore/legal-blindaje-bundle	docs/legal/DPA.md,docs/legal/subprocessors.md,public/data-deletion.html,public/privacy.html,public/subprocessors.html,public/terms.html	fix(i18n): declarar privacy.lastUpdated/providerData + common.allRightsReserved (es/en/pt-BR)
7	12	2026-06-20	chore/wire-orphans-real-1	docs/API-INDEX.md,scripts/router-test-ratchet-baseline.json,server.ts,src/__tests__/server/slaWatch.router.test.ts,src/components/compliance/ComplianceTrafficLight.wiring.test.tsx,src/components/escalation/SlaWatchPanel.wired.test.tsx	chore: regen tras bundle wire-orphans-1
0	1	2026-06-20	fix/typecheck-router-tests	src/__tests__/server/aggregateTelemetry.router.test.ts,src/__tests__/server/reports.router.test.ts	fix(tests): typecheck verde ÔÇö H.db non-null en aggregateTelemetry + pdfParser res:any en reports
10	18	2026-06-20	chore/router-tests-wave8f	scripts/router-test-ratchet-baseline.json,src/__tests__/server/aiToggle.router.test.ts,src/__tests__/server/consultativeSale.router.test.ts,src/__tests__/server/explainability.router.test.ts,src/__tests__/server/meetingPack.router.test.ts,src/__tests__/server/multiRoleSummary.router.test.ts	fix(meetingPack): server-stamp supervisorUid/projectId tras spread (anti-spoof CLAUDE.md #3) + test
9	17	2026-06-20	chore/router-tests-wave8e	scripts/router-test-ratchet-baseline.json,src/__tests__/server/adoption.router.test.ts,src/__tests__/server/agenda.router.test.ts,src/__tests__/server/bbs.router.test.ts,src/__tests__/server/circadian.router.test.ts,src/__tests__/server/commsDrill.router.test.ts	chore: regen router-test baseline tras bundle ola 5
9	17	2026-06-20	chore/router-tests-wave8d	scripts/router-test-ratchet-baseline.json,src/__tests__/server/aggregateTelemetry.router.test.ts,src/__tests__/server/climateAwareScheduling.router.test.ts,src/__tests__/server/coachRag.router.test.ts,src/__tests__/server/continuity.router.test.ts,src/__tests__/server/costCalculator.router.test.ts	chore: regen router-test baseline tras bundle ola 4 (8 tests)
9	17	2026-06-20	chore/router-tests-wave8c	scripts/router-test-ratchet-baseline.json,src/__tests__/server/consistency.router.test.ts,src/__tests__/server/geofencePermissions.router.test.ts,src/__tests__/server/inbox.router.test.ts,src/__tests__/server/privacyShield.router.test.ts,src/__tests__/server/projectComparator.router.test.ts	chore: regen router-test baseline tras bundle ola 3 (8 tests)
9	17	2026-06-20	chore/router-tests-wave8b	scripts/router-test-ratchet-baseline.json,src/__tests__/server/auditChain.router.test.ts,src/__tests__/server/dataQuality.router.test.ts,src/__tests__/server/fiveS.router.test.ts,src/__tests__/server/hygiene.router.test.ts,src/__tests__/server/mentalLoad.router.test.ts	chore: regen router-test baseline tras bundle ola 2 (8 tests)
4	6	2026-06-20	chore/capture-spi	docs/API-INDEX.md,firestore.rules,scripts/connectivity-ratchet-baseline.json,scripts/i18n-parity-baseline.json,scripts/router-test-ratchet-baseline.json,security_spec.md	Merge remote-tracking branch 'origin/main' into chore/capture-spi
9	17	2026-06-20	chore/router-tests-wave8	scripts/router-test-ratchet-baseline.json,src/__tests__/server/nonConformity.router.test.ts,src/__tests__/server/photoEvidence.router.test.ts,src/__tests__/server/qrAck.router.test.ts,src/__tests__/server/rootCause.router.test.ts,src/server/routes/equipment.test.ts	chore: regen router-test baseline tras bundle de 8 tests
3	4	2026-06-20	chore/capture-oppressure-contractor	docs/API-INDEX.md,firestore.rules,scripts/connectivity-ratchet-baseline.json,scripts/router-test-ratchet-baseline.json,security_spec.md,src/__tests__/server/orgMetrics.router.test.ts	chore: regen baselines+api-index tras bundle oppressure+contractor
1	1	2026-06-20	feat/capture-planned-spi	docs/API-INDEX.md,firestore.rules,scripts/connectivity-ratchet-baseline.json,scripts/i18n-parity-baseline.json,scripts/router-test-ratchet-baseline.json,security_spec.md	feat(spi): capture planned-vs-executed counts + wire SpiDashboard real
5	9	2026-06-20	chore/writeforms-bundle	scripts/connectivity-ratchet-baseline.json,scripts/i18n-parity-baseline.json,src/components/documents/LegalDocGeneratorForm.test.tsx,src/components/documents/LegalDocGeneratorForm.tsx,src/i18n/locales/en/common.json,src/i18n/locales/es/common.json	chore: regen baseline+api-index tras reconciliar writeforms con keystone
3	5	2026-06-20	feat/keystone-manhours-pr	docs/API-INDEX.md,firestore.rules,scripts/connectivity-ratchet-baseline.json,scripts/router-test-ratchet-baseline.json,security_spec.md,src/components/layout/sidebarMenuGroups.ts	merge main into keystone + regen baseline/api-index (reconcilia #1089)
4	7	2026-06-20	chore/bucketd-derivable-bundle	docs/API-INDEX.md,scripts/connectivity-ratchet-baseline.json,src/App.tsx,src/__tests__/server/eppFlow.test.ts,src/__tests__/server/organic.router.test.ts,src/components/layout/sidebarMenuGroups.ts	chore: regen baseline+api-index tras bundle bucketd-derivable (organic/epp/industry)
3	5	2026-06-20	chore/cost-ds67-bundle	scripts/connectivity-ratchet-baseline.json,src/components/layout/sidebarMenuGroups.ts,src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json,src/pages/CostScenarios.test.tsx	chore: regen baseline+api-index tras bundle cost+ds67
6	10	2026-06-20	chore/wave-realread3-bundle	docs/ORPHAN-ROADMAP-2026-06-20.md,scripts/connectivity-ratchet-baseline.json,src/components/suppliers/SupplierComparator.test.tsx,src/components/suppliers/SupplierComparator.tsx,src/components/telemetry/AggregateTelemetryPanel.test.tsx,src/components/telemetry/AggregateTelemetryPanel.tsx	chore: regen baseline+api-index + roadmap doc tras bundle realread-3 (5 mounts)
2	4	2026-06-20	chore/wave-realread2-bundle	scripts/connectivity-ratchet-baseline.json,src/components/layout/sidebarMenuGroups.ts,src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json,src/pages/FindingsHeatMap.test.tsx	Merge remote-tracking branch 'origin/feat/mount-waste' into chore/wave-realread2-bundle
0	1	2026-06-20	fix/deflake-offline-crypto	src/utils/offlineCrypto.test.ts	test(offlineCrypto): de-flake leak-check ÔÇö marcador PII largo evita coincidencia azarosa en base64 (no .toContain('Ana'))
2	2	2026-06-20	chore/wave-realread-bundle	docs/API-INDEX.md,scripts/connectivity-ratchet-baseline.json,src/hooks/useDataQuality.ts,src/pages/Documents.test.tsx,src/pages/Documents.tsx,src/server/routes/dataQuality.test.ts	fix(dataQuality): tipar safeRead documents (Record&{id}) ÔÇö resuelve 20 TS2339; regen baseline+api-index
6	9	2026-06-20	chore/wave-f-bundle	docs/API-INDEX.md,docs/PENDIENTE.md,scripts/connectivity-ratchet-baseline.json,src/__tests__/server/incidentFlow.test.ts,src/__tests__/server/incidentTrends.test.ts,src/components/layout/sidebarMenuGroups.ts	docs(pendiente): ContractorPerformance feed = Bucket D (no montar honest-empty)
1	1	2026-06-20	feat/mount-epp-inspection	scripts/connectivity-ratchet-baseline.json,src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json,src/pages/EPP.test.tsx,src/pages/EPP.tsx	feat(epp): mount EppInspectionForm on EPP page with real catalog
1	1	2026-06-20	feat/incidentflow-hub	docs/API-INDEX.md,scripts/connectivity-ratchet-baseline.json,src/__tests__/server/incidentFlow.test.ts,src/__tests__/server/incidentTrends.test.ts,src/components/layout/sidebarMenuGroups.ts,src/hooks/useIncidentFlow.ts	feat(incidentFlow): Hub de Flujo de Incidentes (F3) ÔÇö lista real + monta hu├®rfanos
1	1	2026-06-20	feat/change-management-moc	scripts/connectivity-ratchet-baseline.json,src/components/layout/sidebarMenuGroups.ts,src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json,src/pages/ChangeManagement.test.tsx	feat(changeMgmt): mount MOC trio in ChangeManagement page (F5)
1	1	2026-06-20	feat/mount-lone-worker-admin	scripts/connectivity-ratchet-baseline.json,src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json,src/pages/LoneWorkerMonitor.admin.test.tsx,src/pages/LoneWorkerMonitor.test.tsx	feat(loneWorker): mount LoneWorkerAdminPanel on supervisor monitor page
4	7	2026-06-20	chore/drain-vidalegal-bundle	docs/API-INDEX.md,scripts/connectivity-ratchet-baseline.json,src/__tests__/server/custodyChain.router.test.ts,src/hooks/useCustodyChainByNode.ts,src/hooks/useLegalObligations.test.ts,src/hooks/useLegalObligations.ts	chore: regen baseline + api-index tras bundle 3 mounts vida/legal
1	1	2026-06-20	feat/mount-legal-obligations	scripts/connectivity-ratchet-baseline.json,src/hooks/useLegalObligations.test.ts,src/hooks/useLegalObligations.ts,src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json	feat(legal-calendar): mount useLegalObligations on LegalCalendar page
1	1	2026-06-20	feat/mount-custody-chain-card	scripts/connectivity-ratchet-baseline.json,src/__tests__/server/custodyChain.router.test.ts,src/hooks/useCustodyChainByNode.ts,src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json	feat(evidenceChain): mount CustodyChainTimelineCard on incident investigation with real chain data
13	19	2026-06-20	chore/drain-features-bundle	docs/API-INDEX.md,docs/READ-PIPELINES-SPEC.md,scripts/connectivity-ratchet-baseline.json,src/__tests__/server/multiProject.test.ts,src/hooks/useMultiProject.ts,src/i18n/locales/en/common.json	chore: regen baseline + api-index tras bundle de 6 features rescatadas
1	1	2026-06-20	feat/mount-project-closure-card	scripts/connectivity-ratchet-baseline.json,src/pages/ProjectClosure.test.tsx,src/pages/ProjectClosure.tsx	feat(projectClosure): mount ProjectClosureCard with real closure data
5	9	2026-06-20	fix/red-main-tests-bundle	src/components/confidentialReports/ConfidentialReportInbox.tsx,src/components/maturity/MaturityIndexCard.tsx,src/components/residualRisk/ResidualRiskCard.tsx,src/pages/ConfidentialReports.tsx,src/pages/MountainRefuges.tsx,src/pages/PreShiftRisk.tsx	Merge remote-tracking branch 'origin/fix/test-confidential-reports' into fix/red-main-tests-bundle
1	1	2026-06-20	fix/test-residual-risk	src/components/residualRisk/ResidualRiskCard.tsx,src/pages/ResidualRisk.tsx	fix(residual-risk): consolidate duplicate residual-risk card (de-dup #1079 mount)
1	1	2026-06-20	fix/test-mountain-refuges	src/pages/MountainRefuges.tsx	fix(mountain-refuges): restore offline client catalog as primary refuge source
1	1	2026-06-20	fix/test-confidential-reports	src/components/confidentialReports/ConfidentialReportInbox.tsx,src/pages/ConfidentialReports.tsx	fix(confidential-reports): de-dupe report data-testid between inbox views
1	1	2026-06-20	fix/test-pre-shift-risk	src/pages/PreShiftRisk.tsx	fix(pre-shift): stop PreShiftRiskCard mount duplicating the inline panel
1	1	2026-06-20	fix/test-maturity-indicator	src/components/maturity/MaturityIndexCard.tsx	@ fix(maturity): de-duplicate maturity-gauge testid in MaturityIndexCard
2	2	2026-06-20	feat/mount-use-roi-scenario	src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json,src/pages/PricingCalculator.test.tsx,src/pages/PricingCalculator.tsx	feat(pricing): render server-computed ROI scenario comparison
2	2	2026-06-20	feat/mount-use-project-comparator	docs/READ-PIPELINES-SPEC.md,src/__tests__/server/multiProject.test.ts,src/hooks/useMultiProject.ts,src/pages/ProjectsCompare.test.tsx,src/pages/ProjectsCompare.tsx,src/server/routes/multiProject.ts	feat: wire ProjectsCompare to real per-project snapshots (READ pipeline P1)
2	2	2026-06-20	feat/mount-requirement-gate-panel	scripts/connectivity-ratchet-baseline.json,src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json,src/pages/SoftBlocks.test.tsx,src/pages/SoftBlocks.tsx	fix(soft-blocks): honest empty-state when active-blocks feed is not wired
3	3	2026-06-20	feat/mount-use-reconciliation-status	src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json,src/pages/Dashboard.tsx	fix: remove explicit ns from reconciliation t() call
2	2	2026-06-20	feat/mount-use-research-mode	src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json,src/pages/RootCauseInvestigation.tsx	fix(i18n): declare research_summary keys in es, en, pt-BR
1	1	2026-06-20	feat/mount-use-multi-role-summary	src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json,src/pages/AnnualReview.tsx	feat: wire useMultiRoleSummary hook into AnnualReview page
9	17	2026-06-20	chore/drain-wave-3	scripts/connectivity-ratchet-baseline.json,src/components/layout/sidebarMenuGroups.ts,src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json,src/pages/DrillsManager.tsx	i18n: declarar 8 claves maintenance.page.* + nav.maintenance_preventive (es/en/pt-BR) que usaba #1001
2	2	2026-06-20	docs/phantom-mounts-reclassify	docs/PENDIENTE.md	docs(pendiente): CphsModule cascar├│n YA resuelto (pasa roster real, no [])
0	1	2026-06-20	docs/b-dimension-clean	docs/PENDIENTE.md	docs(pendiente): B limpio ÔÇö WisdomCapsule era falso positivo (real /today ya cableado en MorningRoutine)
2	3	2026-06-20	chore/consolidate-rules	CLAUDE.md,TODO.md,docs/PENDIENTE.md,docs/PLAN-MAESTRO-HACER-REAL-2026-06-17.md,docs/audits/INDEX.md,docs/audits/archive/AUDIT_2026-05-05_FULL.md	docs+governance: merge #1070 (CLAUDE rules #23/#24 + audits/INDEX) preservando conteos re-verificados; corregir nota stale #1051
4	6	2026-06-20	chore/drain-wave-2	docs/READ-PIPELINES-SPEC.md,src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json,src/pages/Analytics.tsx	Merge remote-tracking branch 'origin/docs/read-pipeline-specs-2026-06-19' into chore/drain-wave-2
10	22	2026-06-20	chore/drain-mount-wave-bundle	docs/API-INDEX.md,scripts/connectivity-ratchet-baseline.json,src/components/workerReadiness/WorkerReadinessCard.tsx,src/i18n/locales/en/common.json,src/i18n/locales/es/common.json,src/i18n/locales/pt-BR/common.json	chore: regen connectivity baseline (89->81) + api-index after bundling 9 mounts
1	1	2026-06-20	feat/mount-confidential-report-inbox	docs/API-INDEX.md,scripts/connectivity-ratchet-baseline.json,src/pages/ConfidentialReports.tsx	feat: mount ConfidentialReportInbox in ConfidentialReports page
0	1	2026-06-20	chore/phase0-reverify-api-index	docs/API-INDEX.md,docs/PENDIENTE.md,docs/api-routes.md,docs/stubs-inventory.md,package.json,scripts/gen-api-index.cjs	chore(audit): re-verify pending ledger + auto-generated route index
1	1	2026-06-19	docs/read-pipeline-specs-2026-06-19	docs/READ-PIPELINES-SPEC.md	docs(pipelines): executable read-pipeline spec queue (the real "make real" work)
